Site,Date,Year,Salinity,TN_um_L,TN_moles_L,TN_g_L,TN_ug_L,TP_um_L,TP_moles_L,TP_g_L,TP_ug_L,NP_molar,NP_mass
SRS4,3/3/01,2001,9.00,50.46,0.000050,0.000707,706.81,0.99,0.000001,0.000031,30.66,50.97,23.05
SRS5,3/3/01,2001,21.00,27.00,0.000027,0.000378,378.16,0.12,0.000000,0.000004,3.72,224.98,101.74
SRS6,3/3/01,2001,24.50,20.48,0.000020,0.000287,286.92,0.39,0.000000,0.000012,12.08,52.52,23.75
SRS1,3/5/01,2001,0.00,43.63,0.000044,0.000611,611.07,0.81,0.000001,0.000025,25.09,53.86,24.36
SRS3,3/5/01,2001,0.00,115.11,0.000115,0.001612,1612.28,0.89,0.000001,0.000028,27.57,129.33,58.49
SRS2,3/6/01,2001,0.00,61.47,0.000061,0.000861,860.94,0.36,0.000000,0.000011,11.15,170.74,77.21
SRS4,3/6/01,2001,10.50,0.00,0.000000,0.000000,0.01,0.00,0.000000,0.000000,0.03,1.00,0.45
SRS5,3/6/01,2001,22.00,0.00,0.000000,0.000000,0.01,0.00,0.000000,0.000000,0.03,1.00,0.45
SRS6,3/6/01,2001,24.50,24.58,0.000025,0.000344,344.31,0.49,0.000000,0.000015,15.18,50.17,22.69
SRS1,3/8/01,2001,0.00,41.91,0.000042,0.000587,587.03,1.03,0.000001,0.000032,31.90,40.69,18.40
SRS3,3/8/01,2001,0.00,75.17,0.000075,0.001053,1052.91,0.46,0.000000,0.000014,14.25,163.41,73.90
SRS2,3/9/01,2001,0.00,57.62,0.000058,0.000807,807.14,0.51,0.000001,0.000016,15.80,112.99,51.10
SRS4,3/9/01,2001,11.00,45.39,0.000045,0.000636,635.71,1.88,0.000002,0.000058,58.23,24.14,10.92
SRS5,3/9/01,2001,21.00,36.33,0.000036,0.000509,508.89,0.24,0.000000,0.000007,7.43,151.38,68.46
SRS6,3/9/01,2001,24.50,24.53,0.000025,0.000344,343.59,0.39,0.000000,0.000012,12.08,62.90,28.44
SRS1,3/11/01,2001,0.00,46.16,0.000046,0.000647,646.52,1.39,0.000001,0.000043,43.05,33.21,15.02
SRS2,3/12/01,2001,0.00,109.14,0.000109,0.001529,1528.72,0.25,0.000000,0.000008,7.74,436.56,197.42
SRS4,3/12/01,2001,11.50,30.20,0.000030,0.000423,422.96,1.70,0.000002,0.000053,52.66,17.76,8.03
SRS5,3/12/01,2001,22.00,68.41,0.000068,0.000958,958.20,0.00,0.000000,0.000000,0.03,68409.00,30935.78
SRS6,3/12/01,2001,24.50,26.71,0.000027,0.000374,374.07,0.52,0.000001,0.000016,16.11,51.36,23.22
SRS1,3/14/01,2001,0.00,45.68,0.000046,0.000640,639.83,1.56,0.000002,0.000048,48.32,29.28,13.24
SRS2,3/15/01,2001,0.00,118.90,0.000119,0.001665,1665.38,0.18,0.000000,0.000006,5.58,660.53,298.71
SRS4,3/15/01,2001,12.50,34.84,0.000035,0.000488,487.93,2.06,0.000002,0.000064,63.81,16.91,7.65
SRS5,3/15/01,2001,21.00,19.94,0.000020,0.000279,279.27,0.11,0.000000,0.000003,3.41,181.25,81.97
SRS6,3/15/01,2001,24.50,27.65,0.000028,0.000387,387.27,0.56,0.000001,0.000017,17.35,49.37,22.33
SRS1,3/17/01,2001,0.00,34.78,0.000035,0.000487,487.16,0.00,0.000000,0.000000,0.03,34780.00,15728.14
SRS2,3/18/01,2001,0.00,130.09,0.000130,0.001822,1822.10,0.21,0.000000,0.000007,6.50,619.45,280.13
SRS3,3/18/01,2001,0.00,163.69,0.000164,0.002293,2292.79,0.35,0.000000,0.000011,10.84,467.68,211.49
SRS4,3/18/01,2001,12.00,34.93,0.000035,0.000489,489.28,1.66,0.000002,0.000051,51.42,21.04,9.52
SRS5,3/18/01,2001,19.50,0.00,0.000000,0.000000,0.01,0.00,0.000000,0.000000,0.03,1.00,0.45
SRS6,3/18/01,2001,24.00,24.86,0.000025,0.000348,348.26,0.47,0.000000,0.000015,14.56,52.90,23.92
SRS1,3/19/01,2001,0.00,42.97,0.000043,0.000602,601.89,0.00,0.000000,0.000000,0.03,42971.00,19432.26
SRS2,3/21/01,2001,0.00,117.59,0.000118,0.001647,1647.06,0.15,0.000000,0.000005,4.65,783.92,354.50
SRS3,3/21/01,2001,0.00,163.62,0.000164,0.002292,2291.85,0.76,0.000001,0.000024,23.54,215.29,97.36
SRS4,3/21/01,2001,11.00,28.22,0.000028,0.000395,395.24,2.18,0.000002,0.000068,67.52,12.94,5.85
SRS5,3/21/01,2001,21.00,15.79,0.000016,0.000221,221.11,0.30,0.000000,0.000009,9.29,52.62,23.80
SRS6,3/21/01,2001,24.50,24.01,0.000024,0.000336,336.32,0.43,0.000000,0.000013,13.32,55.84,25.25
SRS1,3/22/01,2001,0.00,86.92,0.000087,0.001217,1217.43,0.00,0.000000,0.000000,0.03,86916.00,39304.98
SRS4,3/23/01,2001,12.00,53.17,0.000053,0.000745,744.79,1.96,0.000002,0.000061,60.71,27.13,12.27
SRS5,3/23/01,2001,21.00,23.69,0.000024,0.000332,331.88,0.54,0.000001,0.000017,16.73,43.88,19.84
SRS6,3/23/01,2001,25.00,18.94,0.000019,0.000265,265.33,0.69,0.000001,0.000021,21.37,27.45,12.42
